Lat,Long,Unleaded 91
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,146.7
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,148.3
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,149.9
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,138.55
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,149.9
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,139.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,149.9
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,149.9
-12.458111,130.836149,146.7
-12.459371,130.837418,149.9
-12.376822,130.882005,149.9
-12.388251,130.851979,149.9
-12.372055,130.883614,149.9
-12.402207,130.855703,146.5
-12.376162,130.88528,147.9
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,149.9
-12.43158,130.874918,139.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,149.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
-12.427976,130.9131,149.9
-12.433454,130.924834,146.9
-12.456695,130.966706,146.9
-12.434533,130.923847,146.9
-12.460552,130.926545,149.9
-12.447604,130.94755,0.0
-12.473721,130.9841,149.9
-12.480144,130.970135,149.9
-12.469825,130.987781,149.9
-12.482142,130.985802,149.9
-12.499875,130.986152,149.9
-12.470486,130.984279,149.9
-12.508645,130.990031,149.9
-12.45187,130.96321,0.0
-12.453169,130.838155,125.9
-12.454479,130.838773,150.9
-12.458111,130.836149,147.7
-12.459371,130.837418,149.9
-12.376822,130.882005,150.9
-12.388251,130.851979,150.9
-12.372055,130.883614,150.463043
-12.402207,130.855703,146.5
-12.376162,130.88528,148.5
-12.3877,130.85206,149.9
-12.373514,130.883836,149.9
-12.394744,130.87797,149.9
-12.394908,130.85574,147.9
-12.401029,130.916358,149.9
-12.396662,130.90436,149.9
-12.389526,130.851965,150.459139
-12.43158,130.874918,139.3
-12.397213,130.859903,149.9
-12.40943,130.855712,146.5
-12.426162,130.893602,146.7
-12.4329,130.848332,146.7
-12.424795,130.839007,146.9
-12.426896,130.855965,146.9
-12.430993,130.891404,0.0
-12.425722,130.869226,150.9
-12.461616,130.929661,0.0
-12.457972,130.941972,0.0
