Lat,Long,Region Name_encoded,Suburb_encoded,Brand Name_encoded,Unleaded 91
-12.453169,130.838155,0,0,0,125.9
-12.454479,130.838773,0,0,1,149.9
-12.458111,130.836149,0,0,2,146.7
-12.459371,130.837418,0,0,3,146.9
-12.376822,130.882005,0,1,1,149.9
-12.388251,130.851979,0,2,1,149.9
-12.372055,130.883614,0,1,4,146.9
-12.402207,130.855703,0,3,2,145.5
-12.376162,130.88528,0,4,2,145.7
-12.3877,130.85206,0,2,3,146.9
-12.373514,130.883836,0,1,3,146.9
-12.394744,130.87797,0,5,3,146.9
-12.394908,130.85574,0,3,5,147.9
-12.401029,130.916358,0,6,4,146.9
-12.396662,130.90436,0,7,3,146.9
-12.389526,130.851965,0,2,4,146.9
-12.43158,130.874918,0,8,6,137.5
-12.397213,130.859903,0,9,7,146.9
-12.40943,130.855712,0,10,2,145.5
-12.426162,130.893602,0,8,2,146.7
-12.4329,130.848332,0,11,2,146.7
-12.424795,130.839007,0,12,3,146.9
-12.426896,130.855965,0,10,3,146.9
-12.430993,130.891404,0,8,0,0.0
-12.425722,130.869226,0,8,1,149.9
-12.461616,130.929661,0,13,7,0.0
-12.457972,130.941972,0,13,5,0.0
-12.427976,130.9131,0,14,7,146.9
-12.433454,130.924834,0,14,3,146.9
-12.456695,130.966706,1,15,3,146.9
-12.434533,130.923847,0,14,3,146.9
-12.460552,130.926545,0,13,3,146.9
-12.447604,130.94755,0,14,5,0.0
-12.473721,130.9841,1,16,1,149.9
-12.480144,130.970135,1,16,1,149.9
-12.469825,130.987781,1,17,7,146.9
-12.482142,130.985802,1,16,3,146.9
-12.499875,130.986152,1,18,4,146.9
-12.470486,130.984279,1,16,4,146.9
-12.508645,130.990031,1,19,2,146.7
-12.45187,130.96321,1,20,5,0.0
-12.453169,130.838155,0,0,0,125.9
-12.454479,130.838773,0,0,1,149.9
-12.458111,130.836149,0,0,2,146.7
-12.459371,130.837418,0,0,3,146.9
-12.376822,130.882005,0,1,1,149.9
-12.388251,130.851979,0,2,1,149.9
-12.372055,130.883614,0,1,4,146.9
-12.402207,130.855703,0,3,2,145.5
-12.376162,130.88528,0,4,2,145.7
-12.3877,130.85206,0,2,3,146.9
-12.373514,130.883836,0,1,3,146.9
-12.394744,130.87797,0,5,3,146.9
-12.394908,130.85574,0,3,5,147.9
-12.401029,130.916358,0,6,4,146.9
-12.396662,130.90436,0,7,3,146.9
-12.389526,130.851965,0,2,4,146.9
-12.43158,130.874918,0,8,6,137.5
-12.397213,130.859903,0,9,7,146.9
-12.40943,130.855712,0,10,2,145.5
-12.426162,130.893602,0,8,2,146.7
-12.4329,130.848332,0,11,2,146.7
-12.424795,130.839007,0,12,3,146.9
-12.426896,130.855965,0,10,3,146.9
-12.430993,130.891404,0,8,0,0.0
-12.425722,130.869226,0,8,1,149.9
-12.461616,130.929661,0,13,7,0.0
-12.457972,130.941972,0,13,5,0.0
-12.427976,130.9131,0,14,7,146.9
-12.433454,130.924834,0,14,3,146.9
-12.456695,130.966706,1,15,3,146.9
-12.434533,130.923847,0,14,3,146.9
-12.460552,130.926545,0,13,3,146.9
-12.447604,130.94755,0,14,5,0.0
-12.473721,130.9841,1,16,1,149.9
-12.480144,130.970135,1,16,1,149.9
-12.469825,130.987781,1,17,7,146.9
-12.482142,130.985802,1,16,3,146.9
-12.499875,130.986152,1,18,4,146.9
-12.470486,130.984279,1,16,4,146.9
-12.508645,130.990031,1,19,2,146.7
-12.45187,130.96321,1,20,5,0.0
-12.453169,130.838155,0,0,0,125.9
-12.454479,130.838773,0,0,1,149.9
-12.458111,130.836149,0,0,2,146.7
-12.459371,130.837418,0,0,3,146.9
-12.376822,130.882005,0,1,1,149.9
-12.388251,130.851979,0,2,1,149.9
-12.372055,130.883614,0,1,4,148.11875
-12.402207,130.855703,0,3,2,145.5
-12.376162,130.88528,0,4,2,145.7
-12.3877,130.85206,0,2,3,146.9
-12.373514,130.883836,0,1,3,146.9
-12.394744,130.87797,0,5,3,146.9
-12.394908,130.85574,0,3,5,147.9
-12.401029,130.916358,0,6,4,148.106185
-12.396662,130.90436,0,7,3,146.9
-12.389526,130.851965,0,2,4,148.106185
-12.43158,130.874918,0,8,6,137.5
-12.397213,130.859903,0,9,7,146.9
-12.40943,130.855712,0,10,2,145.5
-12.426162,130.893602,0,8,2,146.7
-12.4329,130.848332,0,11,2,146.7
-12.424795,130.839007,0,12,3,146.9
-12.426896,130.855965,0,10,3,146.9
-12.430993,130.891404,0,8,0,0.0
-12.425722,130.869226,0,8,1,149.9
-12.461616,130.929661,0,13,7,0.0
-12.457972,130.941972,0,13,5,0.0
-12.427976,130.9131,0,14,7,146.9
-12.433454,130.924834,0,14,3,146.9
-12.456695,130.966706,1,15,3,146.9
-12.434533,130.923847,0,14,3,146.9
-12.460552,130.926545,0,13,3,146.9
-12.447604,130.94755,0,14,5,0.0
-12.473721,130.9841,1,16,1,149.9
-12.480144,130.970135,1,16,1,149.9
-12.469825,130.987781,1,17,7,146.9
-12.482142,130.985802,1,16,3,146.9
-12.499875,130.986152,1,18,4,148.044329
-12.470486,130.984279,1,16,4,148.048936
-12.508645,130.990031,1,19,2,146.7
-12.45187,130.96321,1,20,5,0.0
-12.453169,130.838155,0,0,0,125.9
-12.454479,130.838773,0,0,1,149.9
-12.458111,130.836149,0,0,2,146.7
-12.459371,130.837418,0,0,3,148.515384
-12.376822,130.882005,0,1,1,149.9
-12.388251,130.851979,0,2,1,149.9
-12.372055,130.883614,0,1,4,149.9
-12.402207,130.855703,0,3,2,145.833333
-12.376162,130.88528,0,4,2,146.033333
-12.3877,130.85206,0,2,3,148.515384
-12.373514,130.883836,0,1,3,148.515384
-12.394744,130.87797,0,5,3,148.515384
-12.394908,130.85574,0,3,5,147.9
-12.401029,130.916358,0,6,4,149.9
-12.396662,130.90436,0,7,3,148.515384
-12.389526,130.851965,0,2,4,149.9
-12.43158,130.874918,0,8,6,137.5
-12.397213,130.859903,0,9,7,146.9
-12.40943,130.855712,0,10,2,145.833333
-12.426162,130.893602,0,8,2,146.7
-12.4329,130.848332,0,11,2,146.7
-12.424795,130.839007,0,12,3,146.9
-12.426896,130.855965,0,10,3,146.9
-12.430993,130.891404,0,8,0,0.0
-12.425722,130.869226,0,8,1,149.9
-12.461616,130.929661,0,13,7,0.0
-12.457972,130.941972,0,13,5,0.0
-12.427976,130.9131,0,14,7,146.9
-12.433454,130.924834,0,14,3,146.9
-12.456695,130.966706,1,15,3,146.9
-12.434533,130.923847,0,14,3,147.476923
-12.460552,130.926545,0,13,3,148.515384
-12.447604,130.94755,0,14,5,0.0
-12.473721,130.9841,1,16,1,149.9
-12.480144,130.970135,1,16,1,149.9
-12.469825,130.987781,1,17,7,146.9
-12.482142,130.985802,1,16,3,148.515384
-12.499875,130.986152,1,18,4,149.9
